tweet_id,user_id,created_at,text,hashtags,retweetcount,retweeter_ids
1659771957913718784,1079352563923742720,2023-05-20 04:04:06+00:00,หาเพื่อนบริหาร​ธุรกิจ​ม.บูรพามั้ยคะ เมคเฟรนกัน #dek66,dek66,0,
1659771954898022400,1330146088532275200,2023-05-20 04:04:05+00:00,ค่ะก็ พี่ขอตังค์หน่อยค่ะ 🥹 #dek66 https://t.co/BgQ9nVYKgd,dek66,1,1434518332275769352
1659771928935297024,1467139324915249154,2023-05-20 04:03:59+00:00,ไม่อยากโทษใครหรอก แต่ข้อสอบก็เปลี่ยน คิดว่าการศึกษาไทยดีมากหรอ เดี๋ยวเฟ้อเดี๋ยวฝืด งง #dek66,dek66,0,1385576990439211010
1659771929845460994,1425842871249170434,2023-05-20 04:03:59+00:00,🤘🏻#dek66 https://t.co/bd1bwC57gd,dek66,1,
1659771928989822977,1441737948693614601,2023-05-20 04:03:59+00:00,มีใครติดคณะวิทเคมี มชมั้ยคะ อยากสอบถามคะแนนค่ะ ทั้งสองรูปแบบเลย #dek66 #ทีมมช,"dek66,ทีมมช",0,
1659771921410699264,1611611924608995330,2023-05-20 04:03:57+00:00,หาเพื่อนค่าาาา #dek66 https://t.co/wCyeC0zGAP,dek66,0,
1659771918223020033,1624729919023616001,2023-05-20 04:03:57+00:00,มาหาเพื่อนคั้บบบ #dek66 #ssru #สวนสุนันทา https://t.co/aDGHGE4oZf,"dek66,ssru,สวนสุนันทา",0,
1659771915660308480,1082265398291001345,2023-05-20 04:03:56+00:00,มีใครรู้บ้างไหมคะคะแนนต่ำสุดของจิตวิทยามศวตอนนี้เท่าไหร่หรอคะ  #dek66,dek66,0,"1384393868062330884,1465676760477929473,1252145856150532096"
1659771911520534528,1393924988818755586,2023-05-20 04:03:55+00:00,มีใครสละสิทธิ์ ปรัญชา มธ ไหมคะ #dek66,dek66,0,1471762718126325761
1659771910371282945,1567141850607415296,2023-05-20 04:03:55+00:00,"ไหวไหม ต้องไหวสิ 🫠
#dek66 https://t.co/lzGs3qEd1c",dek66,0,
1659771906495762433,1472963215743016962,2023-05-20 04:03:54+00:00,หาเพื่อนเมคเฟรนหน่อยค่ะ 🙌🙌 #dek66 https://t.co/Zvx9TSUJ1g,dek66,0,
1659771894776864775,916322402983743489,2023-05-20 04:03:51+00:00,หาเพื่อน วิศวะ มอค่ะ #dek66,dek66,0,
1659771896760786944,1245233319358259200,2023-05-20 04:03:51+00:00,"มีใครติดปรัชญามศวหม้ายคับ เมคเฟรนกันได้นะคะ&lt;33🤲🏻💞  

(ปล.เค้าติดรอบแรกน้าคับ ไม่ได้ยื่นรอบสาม🥺) #dek66 #ทีมมศว","dek66,ทีมมศว",0,
1659771893321465856,959320529256693760,2023-05-20 04:03:51+00:00,มีใครติดธรณี จุฬา มั้ยคะ เราอยากทราบคะแนน🥺🥺 #dek66,dek66,0,1530232261966123009
1659771888799997954,1108075616484515841,2023-05-20 04:03:50+00:00,"มีใครติดสังวิท มก ภาคพิเศษคะแนน 60+บ้างมั้ยคะ
 #dek66",dek66,0,
1659771887604609024,1142451329278676993,2023-05-20 04:03:49+00:00,"มีใครติดศึกษาศาสตร์ การประถมศึกษา มอบูบ้างมั้ยคะ ติดที่คะเเนนเท่าไหร่
เรา50+ไม่ติด😭😭 #dek66",dek66,0,
1659771887197765632,1247906335175217152,2023-05-20 04:03:49+00:00,ขนาดคะแนนสูงกว่าขั้นต่ำปีแล้วประมาณนึงคือยังหลุดเลยอะ 🥹 #dek66,dek66,0,
1659771883376762880,1024308679409950721,2023-05-20 04:03:48+00:00,หาเพื่อนวิศวะสิ่งเเวดล้อม จุฬาคับ #dek66 #จุฬา,"dek66,จุฬา",0,
1659771872916180992,1512737524829270018,2023-05-20 04:03:46+00:00,มีคนติดม.หัวเฉียว ภาษาจีนและวัฒนธรรมมั้ยคะ #dek66,dek66,0,
1659771870256971777,839826777400713216,2023-05-20 04:03:45+00:00,"อยากรู้คะแนนคนติดมนุดจีนมข แล้วติดกี่คนกัน🥲
#dek66",dek66,0,
